1,3,N50Q_5,6783000Y8A,20260714,121754,F,0,1,,FFPFFPPPPPNN,1,F,3,20260714,121735,0,,,0,0

 43, BOARDSHORT,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1, 766, D1, 4.0000000  , 1
 669, RC52,    2.200K ,    2.200K ,  10.0,  10.0, 2, R, 13, 354, C3, 17.9572422K , 1
 670, RC53,   100.00K ,   100.00K ,  10.0,  10.0, 2, R, 1, 448, D3, 0.0001000K , 1
 672, RC57,   499.00  ,   499.00  ,  10.0,  10.0, 2, R, 762, 369, C4, 148015.4186887  , 1
 673, RC58,    2.200K ,    2.200K ,  10.0,  10.0, 2, R, 345, 13, C3, 14.5367044K , 1
 688, RC173,    10.00K ,    10.00K ,  10.0,  10.0, 2, R, 776, 381, B5, 1480.1594187K , 1
 714, RC266,    33.00  ,    33.00  ,  10.0,  10.0, 2, R, 439, 925, D4, 7400.2186888  , 1
 719, RC271,    75.00K ,    75.00K ,  85.0,  85.0, 2, R, 1, 437, D3, 74007.9994188K , 1
 721, RC276,    27.00  ,    27.00  ,  10.0,  10.0, 2, R, 363, 434, D4, 4624.9186888  , 1
 722, RC277,    1.000K ,    1.000K ,  10.0,  10.0, 2, R, 432, 434, D4, 3.4104019K , 1
 725, RC283,    33.00  ,    33.00  ,  10.0,  10.0, 2, R, 974, 353, C4, 7400.2186888  , 1
 726, RC286,    10.00K ,    10.00K ,  10.0,  10.0, 2, R, 18, 447, D3, 1850.1994187K , 1
 728, RC292,    10.00K ,    10.00K ,  10.0,  10.0, 2, R, 1, 443, D3, 0.0001000K , 1
 740, RC325,    10.00K ,    10.00K ,  10.0,  10.0, 2, R, 13, 926, C4, 7.2980380K , 1
 741, RC326,    10.00K ,    10.00K ,  10.0,  10.0, 2, R, 13, 270, C4, 7.4523895K , 1
 747, RC339,    10.00K ,    10.00K ,  10.0,  10.0, 2, R, 13, 365, C4, 1480.1594187K , 1
 748, RC344,   100.00K ,   100.00K ,  80.0,  80.0, 2, R, 1, 433, C4, 0.0001000K , 1
 749, RC346,    10.00K ,    10.00K ,  10.0,  10.0, 2, R, 13, 387, C5, 0.0001000K , 1
 750, RC347,    10.00K ,    10.00K ,  10.0,  10.0, 2, R, 13, 355, C3, 29.1364266K , 1
 759, RC1378,   100.00K ,   100.00K ,  10.0,  10.0, 2, R, 13, 380, C5, 74007.9994188K , 1
 761, RC1381,    20.00K ,    20.00K ,  10.0,  10.0, 2, R, 13, 347, C3, 24422.6394187K , 1
 822, RH160,   100.00K ,   100.00K ,  10.0,  10.0, 2, R, 13, 357, C4, 74007.9994188K , 1
 894, RSI51,    10.00K ,    10.00K ,  10.0,  10.0, 2, R, 13, 3241, A3, 1480.1594187K , 1
 924, RSPI35/RSPI43,    33.00  ,    43.00  ,  10.0,  10.0, 2, R, 357, 358, C4, 12334.0853555  , 1
 930, RSQ3,    1.000K ,    1.000K ,  10.0,  10.0, 2, R, 3249, 799, G6, 348.8942758K , 1
 931, RSQ14,    4.700K ,    4.700K ,  10.0,  10.0, 2, R, 378, 377, C5, 925.0994187K , 1
 935, RSQ47,   120.00  ,   120.00  ,  10.0,  10.0, 2, R, 3, 384, C5, 4439.8986888  , 1
 936, RSQ48,   120.00  ,   120.00  ,  10.0,  10.0, 2, R, 13, 385, C6, 48844.6986888  , 1
 938, RSQ50,   120.00  ,   120.00  ,  10.0,  10.0, 2, R, 14, 383, C5, 8140.2986888  , 1
 939, RSQ51,   120.00  ,   120.00  ,  10.0,  10.0, 2, R, 1163, 389, C6, 48844.6986888  , 1
 942, RSQ54,    10.00K ,    10.00K ,  10.0,  10.0, 2, R, 1158, 386, C5, 1480.1594187K , 1
 943, RSQ55,    10.00K ,    10.00K ,  10.0,  10.0, 2, R, 1158, 390, C6, 1850.1994187K , 1
 946, RSQ61,    20.00K ,    20.00K ,  10.0,  10.0, 2, R, 1158, 391, D7, 4884.5274187K , 1
 982, RTM8,    33.00  ,    33.00  ,  10.0,  10.0, 2, R, 3219, 356, C4, 7400.2186888  , 1
 983, RTM9,    33.00  ,    33.00  ,  10.0,  10.0, 2, R, 3223, 368, C4, 7400.2186888  , 1
 984, RTM10/RSPI41,    33.00  ,    43.00  ,  10.0,  10.0, 2, R, 371, 3221, C4, 14801.0186888  , 1
 1040, CA54/CA34,    22.00uF,    45.20uF,  20.0,  20.0, 4, C, 1, 392, D7, 99999.0000000uF, 1
 1089, CC1558,   100.00pF,   100.00pF,  80.0,  80.0, 2, C, 1, 433, C4, 580.3841819pF, 1
 1474, CUS59,   100.00pF,   100.00pF,  80.0,  80.0, 2, C, 1, 3236, D1, 0.0000000pF, 1
 1479, CS5,   100.00nF,   100.00nF,  80.0,  80.0, 0, C, 1, 381, B5, 0.1407328nF, 1
 1481, PC730,   100.00pF,   100.00pF,  20.0,  20.0, 2, C, 1, 1155, G2, 79.1944564pF, 1
 1486, CSQ13,   220.00nF,   220.00nF,  20.0,  20.0, 0, C, 391, 1, D7, 0.1732577nF, 1
 1504, CU471,   100.00nF,   100.00nF,  35.0,  35.0, 11, C, 284, 291, B1, 0.0945814nF, 1
 1517, CA44,    4.700uF,    4.700uF,  80.0,  80.0, 4, C, 394, 1097, D1, 99999.0000000uF, 1
 1528, CUS10/CUS1,   220.00uF,   220.11uF,  20.0,  20.0, 4, C, 7, 1, B7, 99999.0000000uF, 1
 1575, DC1,    0.382V ,    0.382V ,  30.0,  30.0, 1, D, 365, 853, C4, 1.7218578V , 1
 1576, DC3/1_2,    0.393V ,    0.393V ,  30.0,  30.0, 1, D, 979, 387, C4, 1.5140255V , 1
 1578, DC4/1_2,    0.400V ,    0.400V ,  30.0,  30.0, 1, D, 365, 270, C4, 1.7286982V , 1
 1579, DC4/1_3,    0.398V ,    0.398V ,  30.0,  30.0, 1, D, 365, 926, C4, 1.7253202V , 1
 1582, DC6/1_3,    0.391V ,    0.391V ,  30.0,  30.0, 1, D, 979, 355, C3, 1.7247291V , 1
 1695, PQ1203/1_6,    0.765V ,    0.765V ,  20.0,  20.0, 1, Q, 1, 3249, G6, 2.1113427V , 1
 1696, PQ1203/6_1_2,     3.00  ,    40.00  ,  20.0,  -1.0, 31, QF, 3249, 1, G6, 68533.1457838  , 1
 1710, QC5/ON,     3.00  ,    40.00  ,  20.0,  -1.0, 31, QF, 885, 1013, C5, 81.3689830  , 1
 1716, QC7/6_1_2/ON,     3.00  ,    40.00  ,  20.0,  -1.0, 31, QF, 930, 1, C5, 57.7615050  , 1
 1718, QC7/4_3,    0.662V ,    0.662V ,  20.0,  20.0, 1, Q, 1, 380, C5, 0.9835930V , 1
 1719, QC7/3_4_5/ON,     3.00  ,    40.00  ,  20.0,  -1.0, 31, QF, 380, 1, C5, 156.2744461  , 1
 1783, QH2/3_1,    0.930V ,    0.930V ,  20.0,  20.0, 1, Q, 432, 785, G4, 2.2717983V , 1
 1784, QH2/2_3_1,    1.500V ,    0.200V ,  20.0,  -1.0, 3, Q, 432, 1147, G4, 1.7221289V , 1
 1825, QSQ10/3_4_5/ON,     3.00  ,    40.00  ,  20.0,  -1.0, 31, QF, 385, 1, C5, 124.7509438  , 1
 1832, QSQ12/2_3,    0.712V ,    0.712V ,  20.0,  20.0, 1, Q, 1, 389, C6, 2.0579701V , 1
 1833, QSQ12/ON,     3.00  ,    40.00  ,  20.0,  -1.0, 31, QF, 389, 1, C6, 71089.9498615  , 1
 1839, QSQ16/6_1_2/ON,     3.00  ,    40.00  ,  20.0,  -1.0, 31, QF, 188, 1, C5, 107.4771649  , 1
 1841, QSQ17/2_3,    0.713V ,    0.713V ,  20.0,  20.0, 1, Q, 1, 383, C5, 0.9912780V , 1
 1842, QSQ17/ON,     3.00  ,    40.00  ,  20.0,  -1.0, 31, QF, 383, 1, C5, 162.7965403  , 1
 1922, USI1_61_6/,    0.803V ,    0.803V ,  35.0,  35.0, 2, U, 1, 3241, A1, 2.1505276V , 1
 2096, U1_218_1,    0.338V ,    0.338V ,  35.0,  35.0, 2, U, 1, 369, A1, 0.8763411V , 1
 2106, U1_286_1,    0.389V ,    0.389V ,  35.0,  35.0, 2, U, 1, 423, A1, 1.7390856V , 1
 2107, U1_287_1,    0.390V ,    0.390V ,  35.0,  35.0, 2, U, 1, 426, A1, 1.7398457V , 1
 2108, U1_289_1,    0.391V ,    0.391V ,  35.0,  35.0, 2, U, 1, 412, A1, 0.1716875V , 1
 2111, U1_296_1,    0.392V ,    0.392V ,  35.0,  35.0, 2, U, 1, 415, A1, 0.5794137V , 1
 2112, U1_297_1,    0.392V ,    0.392V ,  35.0,  35.0, 2, U, 1, 417, A1, 0.8710207V , 1
 2115, U1_311_1,    0.389V ,    0.389V ,  35.0,  35.0, 2, U, 1, 425, A1, 0.8698384V , 1
 2119, U1_320_1,    0.389V ,    0.389V ,  35.0,  35.0, 2, U, 1, 413, A1, 0.5816094V , 1
 2120, U1_321_1,    0.389V ,    0.389V ,  35.0,  35.0, 2, U, 1, 427, A1, 0.6972219V , 1
 2123, U1_325_1,    0.389V ,    0.389V ,  35.0,  35.0, 2, U, 1, 419, A1, 0.7660489V , 1
 2124, U1_332_1,    0.391V ,    0.391V ,  35.0,  35.0, 2, U, 1, 410, A1, 0.6733225V , 1
 2136, U1_412_1,    0.391V ,    0.391V ,  35.0,  35.0, 2, U, 1, 416, A1, 0.8661226V , 1
 2137, U1_413_1,    0.391V ,    0.391V ,  35.0,  35.0, 2, U, 1, 422, A1, 0.6750115V , 1
 2140, U1_420_1,    0.390V ,    0.390V ,  35.0,  35.0, 2, U, 1, 429, A1, 0.8701762V , 1
 2141, U1_421_1,    0.393V ,    0.393V ,  35.0,  35.0, 2, U, 1, 421, A1, 0.7094672V , 1
 2144, U1_433_1,    0.388V ,    0.388V ,  35.0,  35.0, 2, U, 1, 414, A1, 1.7353698V , 1
 2145, U1_436_1,    0.390V ,    0.390V ,  35.0,  35.0, 2, U, 1, 411, A1, 0.8673049V , 1
 2148, U1_442_1,    0.391V ,    0.391V ,  35.0,  35.0, 2, U, 1, 424, A1, 0.8766789V , 1
 2149, U1_443_1,    0.394V ,    0.394V ,  35.0,  35.0, 2, U, 1, 418, A1, 0.8444188V , 1
 2150, U1_445_1,    0.390V ,    0.390V ,  35.0,  35.0, 2, U, 1, 428, A1, 0.5936858V , 1
 2151, U1_447_1,    0.389V ,    0.389V ,  35.0,  35.0, 2, U, 1, 420, A1, 0.5748534V , 1
 2218, U1_794_1,    0.395V ,    0.395V ,  35.0,  35.0, 2, U, 1, 396, A1, 1.7449972V , 1
 2219, U1_795_1,    0.397V ,    0.397V ,  35.0,  35.0, 2, U, 1, 400, A1, 0.6542367V , 1
 2236, U1_885_1,    0.396V ,    0.396V ,  35.0,  35.0, 2, U, 1, 407, A1, 1.7439838V , 1
 2239, U1_898_1,    0.397V ,    0.397V ,  35.0,  35.0, 2, U, 1, 404, A1, 1.7444060V , 1
 2242, U1_912_1,    0.398V ,    0.398V ,  35.0,  35.0, 2, U, 1, 397, A1, 1.7444905V , 1
 2243, U1_915_1,    0.398V ,    0.398V ,  35.0,  35.0, 2, U, 1, 408, A1, 0.8695850V , 1
 2246, U1_928_1,    0.397V ,    0.397V ,  35.0,  35.0, 2, U, 1, 406, A1, 1.7442371V , 1
 2247, U1_931_1,    0.399V ,    0.399V ,  35.0,  35.0, 2, U, 1, 401, A1, 1.7491352V , 1
 2253, U1_955_1,    0.396V ,    0.396V ,  35.0,  35.0, 2, U, 1, 398, A1, 1.7452505V , 1
 2254, U1_956_1,    0.399V ,    0.399V ,  35.0,  35.0, 2, U, 1, 402, A1, 0.0364825V , 1
 2255, U1_958_1,    0.395V ,    0.395V ,  35.0,  35.0, 2, U, 1, 403, A1, 0.8606333V , 1
 2256, U1_965_1,    0.399V ,    0.399V ,  35.0,  35.0, 2, U, 1, 405, A1, 1.7496419V , 1
 2257, U1_966_1,    0.399V ,    0.399V ,  35.0,  35.0, 2, U, 1, 409, A1, 0.8458545V , 1
 2269, U1_1004_1,    0.718V ,    0.718V ,  35.0,  35.0, 2, U, 1, 439, A1, 2.0659929V , 1
 2277, U1_1042_1,    0.869V ,    0.869V ,  35.0,  35.0, 2, U, 1, 360, A1, 0.4295988V , 1
 2280, U1_1061_1,    0.865V ,    0.865V ,  35.0,  35.0, 2, U, 1, 361, A1, 0.4295144V , 1
 2282, U1_1063_1,    0.859V ,    0.859V ,  35.0,  35.0, 2, U, 1, 365, A1, 0.4291766V , 1
 2301, U1_1148_1,    0.863V ,    0.863V ,  35.0,  35.0, 2, U, 1, 443, A1, 0.0189169V , 1
 2304, U1_1167_1/,    0.734V ,    0.734V ,  35.0,  35.0, 2, U, 1, 357, A1, 0.4319634V , 1
 2317, U1_1205_1,    0.869V ,    0.869V ,  35.0,  35.0, 2, U, 1, 445, A1, 2.2187635V , 1
 2325, U1_1218_1,    0.866V ,    0.866V ,  35.0,  35.0, 2, U, 1, 433, A1, 0.3723415V , 1
 2330, U1_1229_1,    0.860V ,    0.860V ,  35.0,  35.0, 2, U, 1, 344, A1, 0.4278254V , 1
 2338, U1_1243_1,    0.844V ,    0.844V ,  35.0,  35.0, 2, U, 1, 336, A1, 0.4251230V , 1
 2339, U1_1247_1,    0.861V ,    0.861V ,  35.0,  35.0, 2, U, 1, 339, A1, 0.4264742V , 1
 2340, U1_1249_1,    0.861V ,    0.861V ,  35.0,  35.0, 2, U, 1, 347, A1, 0.4265586V , 1
 2345, U1_1256_1,    0.863V ,    0.863V ,  35.0,  35.0, 2, U, 1, 446, A1, 2.2138654V , 1
 2365, U1_1295_1,    0.860V ,    0.860V ,  35.0,  35.0, 2, U, 1, 352, A1, 0.4300211V , 1
 2368, U1_1301_1,    0.861V ,    0.861V ,  35.0,  35.0, 2, U, 1, 444, A1, 0.5314459V , 1
 2378, U1_1321_1,    0.852V ,    0.852V ,  35.0,  35.0, 2, U, 1, 345, A1, 0.4296833V , 1
 2381, U1_1327_1,    0.865V ,    0.865V ,  35.0,  35.0, 2, U, 1, 353, A1, 0.4323857V , 1
 2383, U1_1329_1/,    0.719V ,    0.719V ,  35.0,  35.0, 2, U, 1, 434, A1, 0.0103874V , 1
 2390, U1_1342_1,    0.856V ,    0.856V ,  35.0,  35.0, 2, U, 1, 354, A1, 0.4301900V , 1
 2393, U1_1348_1,    0.864V ,    0.864V ,  35.0,  35.0, 2, U, 1, 447, A1, 2.2136120V , 1
 2555, U1_286_148,    0.556V ,    0.556V ,  35.0,  35.0, 2, U, 423, 21, A1, 1.9051994V , 1
 2556, U1_287_148,    0.599V ,    0.599V ,  35.0,  35.0, 2, U, 426, 21, A1, 1.9500426V , 1
 2557, U1_289_148,    0.620V ,    0.620V ,  35.0,  35.0, 2, U, 412, 21, A1, -0.1569932V , 1
 2560, U1_296_148,    0.636V ,    0.636V ,  35.0,  35.0, 2, U, 415, 21, A1, 1.8380614V , 1
 2568, U1_320_148,    0.577V ,    0.577V ,  35.0,  35.0, 2, U, 413, 21, A1, 1.9081552V , 1
 2572, U1_325_148,    0.634V ,    0.634V ,  35.0,  35.0, 2, U, 419, 21, A1, 1.9825559V , 1
 2589, U1_420_148,    0.561V ,    0.561V ,  35.0,  35.0, 2, U, 429, 21, A1, 0.8431521V , 1
 2593, U1_433_148,    0.560V ,    0.560V ,  35.0,  35.0, 2, U, 414, 21, A1, 1.9100131V , 1
 2597, U1_442_148,    0.565V ,    0.565V ,  35.0,  35.0, 2, U, 424, 21, A1, 0.8818303V , 1
 2600, U1_447_148,    0.629V ,    0.629V ,  35.0,  35.0, 2, U, 420, 21, A1, 1.1008100V , 1
 2665, U1_794_148,    0.554V ,    0.554V ,  35.0,  35.0, 2, U, 396, 21, A1, 1.9005547V , 1
 2666, U1_795_148,    0.597V ,    0.597V ,  35.0,  35.0, 2, U, 400, 21, A1, 0.8307379V , 1
 2682, U1_885_148,    0.563V ,    0.563V ,  35.0,  35.0, 2, U, 407, 21, A1, 1.9109421V , 1
 2685, U1_898_148,    0.556V ,    0.556V ,  35.0,  35.0, 2, U, 404, 21, A1, 1.9058750V , 1
 2688, U1_912_148,    0.558V ,    0.558V ,  35.0,  35.0, 2, U, 397, 21, A1, 1.9059595V , 1
 2689, U1_915_148,    0.600V ,    0.600V ,  35.0,  35.0, 2, U, 408, 21, A1, 0.8946668V , 1
 2692, U1_928_148,    0.568V ,    0.568V ,  35.0,  35.0, 2, U, 406, 21, A1, 1.9155868V , 1
 2693, U1_931_148,    0.600V ,    0.600V ,  35.0,  35.0, 2, U, 401, 21, A1, 1.9488603V , 1
 2699, U1_955_148,    0.631V ,    0.631V ,  35.0,  35.0, 2, U, 398, 21, A1, 1.9792624V , 1
 2700, U1_956_148,    0.635V ,    0.635V ,  35.0,  35.0, 2, U, 402, 21, A1, 0.0131743V , 1
 2702, U1_965_148,    0.636V ,    0.636V ,  35.0,  35.0, 2, U, 405, 21, A1, 1.9847516V , 1
 2703, U1_966_148,    0.634V ,    0.634V ,  35.0,  35.0, 2, U, 409, 21, A1, 0.8763411V , 1
 2715, U1_1004_148,    0.894V ,    0.894V ,  35.0,  35.0, 2, U, 439, 21, A1, 2.2430852V , 1
 2759, U1_1205_148,    1.154V ,    1.154V ,  35.0,  35.0, 2, U, 445, 21, A1, 2.5021788V , 1
 2779, U1_1247_148,    1.178V ,    1.178V ,  35.0,  35.0, 2, U, 339, 21, A1, 0.5116845V , 1
 2929, UA2_21_25,    0.674V ,    0.674V ,  35.0,  35.0, 2, U, 599, 394, A1, 2.0227543V , 1
 2990, UUS8_3_2,    0.736V ,    0.736V ,  35.0,  35.0, 2, U, 1, 355, A1, 0.4295988V , 1
 3017, USI3_5_8,    0.805V ,    0.805V ,  35.0,  35.0, 2, U, 3207, 323, A1, 1.5603043V , 1
 3018, USI3_6_8,    0.798V ,    0.798V ,  35.0,  35.0, 2, U, 3206, 323, A1, 1.5559973V , 1
 3081, UTM1_7_2,    0.607V ,    0.607V ,  35.0,  35.0, 2, U, 370, 366, A1, 1.6737211V , 1
 3083, UTM1_17_2,    0.592V ,    0.592V ,  35.0,  35.0, 2, U, 370, 976, A1, 1.6583511V , 1
 3084, UTM1_19_2,    0.567V ,    0.567V ,  35.0,  35.0, 2, U, 370, 356, A1, 1.5040604V , 1
 3085, UTM1_21_2,    0.562V ,    0.562V ,  35.0,  35.0, 2, U, 370, 368, A1, 1.9036793V , 1
 3091, UTM1_21_22,    0.878V ,    0.878V ,  35.0,  35.0, 2, U, 368, 915, A1, 2.2191013V , 1
 3137, DUS12_2_3,    0.778V ,    0.778V ,  35.0,  35.0, 2, U, 1, 291, A1, 2.1255303V , 1
 3138, DUS12_10_3,    0.775V ,    0.775V ,  35.0,  35.0, 2, U, 1, 291, A1, 2.1251925V , 1
 3139, DUS12_2_1,    0.962V ,    0.962V ,  35.0,  35.0, 2, U, 291, 290, A1, 2.3117433V , 1
 3140, DUS12_10_1,    0.966V ,    0.966V ,  35.0,  35.0, 2, U, 291, 290, A1, 2.3162192V , 1

Open < 766> <   1  151  214  276  307  314  377  393  434  443  599  614  736  766  787  917 1014 1168 1169 > -> <766>-H_SKTOCC# Parts:U1.AK35; <1>-GND Parts:JWLAN1.77
Open <3235> < 223 3235 3236 > -> <3235>-USB_SMRT_PWR_EN Parts:RSI115; <223>-SIO_SMRT_PWR_EN Parts:USI1.76
Open <3236> < 223 3235 3236 > -> <3236>-+5V_USB_P6_EN Parts:UUS8.4; <223>-SIO_SMRT_PWR_EN Parts:USI1.76
