1,137,M75S_5_APH_REV1,6783000B61,20260706,100340,F,0,1,,FFPFFPPPPPNN,1,F,0,20260706,100334,0,,,0,0

 1, ATX_12_SP,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 1537, 1538, A1, 4.0000000  , 1
 467, PR70,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 809, 145, A1, 4.0000000  , 1
 472, RSI1,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 654, 1046, A1, 4.0000000  , 1
 475, PR329,   470.00K ,   470.00K ,  20.0,  20.0, 2, R, 576, 633, A1, 52793.8485699K , 1
 479, RSI57,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 1357, 108, A1, 99999.9000000K , 1
 480, RSI58,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 1414, 110, A1, 99999.9000000K , 1
 491, RSI92,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 102, 144, A1, 4.0000000  , 1
 500, PR127,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 576, 234, A1, 4.0000000  , 1
 507, PR373,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 576, 1418, A1, 4.0000000  , 1
 557, R190,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 184, 178, A1, 4.0000000  , 1
 565, R90,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 621, 60, A1, 4.0000000  , 1
 574, RC152,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 77, 40, A1, 4.0000000  , 1
 591, RC39,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 236, 234, A1, 4.0000000  , 1
 614, RH12,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 712, 159, A1, 4.0000000  , 1
 615, RH13,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 712, 163, A1, 4.0000000  , 1
 624, RH18,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 456, 714, A1, 4.0000000  , 1
 629, RH48,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 84, 78, A1, 4.0000000  , 1
 633, RH53,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 166, 15, A1, 4.0000000  , 1
 634, RH54,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 170, 767, A1, 4.0000000  , 1
 635, RH56,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 171, 662, A1, 4.0000000  , 1
 643, RH85,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 600, 75, A1, 4.0000000  , 1
 644, RH87,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 707, 718, A1, 4.0000000  , 1
 645, RH95,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 576, 723, A1, 4.0000000  , 1
 647, RH98,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 638, 71, A1, 4.0000000  , 1
 676, RL80,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 576, 1021, A1, 4.0000000  , 1
 677, RL84,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 576, 1021, A1, 4.0000000  , 1
 686, RPE25,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 668, 8, A1, 4.0000000  , 1
 690, RPE29,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 664, 662, A1, 4.0000000  , 1
 699, RPE42,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 173, 769, A1, 4.0000000  , 1
 708, RPE67,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 904, 1005, A1, 4.0000000  , 1
 710, RPE8,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 784, 769, A1, 4.0000000  , 1
 716, RSD17,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 144, 201, A1, 4.0000000  , 1
 718, RSD19,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 632, 5, A1, 4.0000000  , 1
 719, RSD20,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 655, 3, A1, 4.0000000  , 1
 728, RSI24,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 133, 116, A1, 4.0000000  , 1
 730, RSI31,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 759, 95, A1, 4.0000000  , 1
 734, RSI43,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 655, 96, A1, 4.0000000  , 1
 737, RSI51,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 431, 183, A1, 4.0000000  , 1
 738, RSI52,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 764, 104, A1, 4.0000000  , 1
 740, RSI56,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 53, 115, A1, 4.0000000  , 1
 781, PR110,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 576, 404, A1, 4.0000000  , 1
 783, PR30,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 214, 316, A1, 4.0000000  , 1
 784, PR322,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 216, 87, A1, 4.0000000  , 1
 786, PR80,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 54, 136, A1, 4.0000000  , 1
 798, RD3,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 401, 1395, A1, 4.0000000  , 1
 807, PR94,   100.00K ,    54.00K ,  20.0,  20.0, 2, R, 1045, 76, A1, 18499.9994094K , 1
 809, RA3,   100.00K ,    56.00K ,  20.0,  20.0, 2, R, 1045, 370, A1, 24666.6660761K , 1
 817, RHM53,   100.00K ,   100.00K ,  20.0,  20.0, 2, R, 576, 1210, A1, 18499.9994094K , 1
 818, RHM72,   100.00K ,   100.00K ,  20.0,  20.0, 2, R, 560, 1207, A1, 24666.6660761K , 1
 821, RUS36,   100.00K ,   100.00K ,  20.0,  20.0, 2, R, 576, 1029, A1, 18499.9994094K , 1
 826, PR14,    4.700K ,    3.000K ,  20.0,  20.0, 2, R, 576, 91, A1, 813.9994094K , 1
 828, R41,    4.700K ,    4.700K ,  20.0,  20.0, 0, R, 576, 989, A1, 99999.9000000K , 1
 833, RFAN12,    4.700K ,    3.800K ,  20.0,  20.0, 2, R, 910, 808, A1, 2466.6660761K , 1
 834, RFAN14,    4.700K ,    3.800K ,  20.0,  20.0, 2, R, 910, 1443, A1, 2466.6660761K , 1
 835, RFAN2,    4.700K ,    4.700K ,  20.0,  20.0, 2, R, 910, 1445, A1, 2466.6660761K , 1
 836, RFAN4,    4.700K ,    4.700K ,  30.0,  30.0, 2, R, 910, 1007, A1, 2466.6660761K , 1
 837, RH66,    4.700K ,    4.700K ,  30.0,  30.0, 0, R, 145, 719, A1, 99999.9000000K , 1
 838, RH67,    4.700K ,    4.700K ,  20.0,  20.0, 0, R, 145, 720, A1, 99999.9000000K , 1
 839, RH68,    4.700K ,    4.700K ,  20.0,  20.0, 0, R, 145, 718, A1, 99999.9000000K , 1
 840, RH88,    4.700K ,    4.700K ,  20.0,  20.0, 0, R, 621, 66, A1, 99999.9000000K , 1
 844, RSI11,    4.700K ,    4.700K ,  20.0,  20.0, 2, R, 654, 114, A1, 2466.6660761K , 1
 853, PR392,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 560, 1467, A1, 99999.9000000K , 1
 854, PR394,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 560, 51, A1, 99999.9000000K , 1
 856, R93,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 560, 1315, A1, 99999.9000000K , 1
 864, RC24,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 560, 178, A1, 99999.9000000K , 1
 865, RC26,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 560, 760, A1, 99999.9000000K , 1
 866, RC47,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 180, 755, A1, 99999.9000000K , 1
 867, RC48,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 180, 251, A1, 99999.9000000K , 1
 868, RC49,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 180, 250, A1, 99999.9000000K , 1
 869, RC50,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 180, 252, A1, 99999.9000000K , 1
 870, RC51,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 180, 745, A1, 99999.9000000K , 1
 874, RC65,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 576, 741, A1, 99999.9000000K , 1
 875, RC66,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 576, 746, A1, 99999.9000000K , 1
 876, RC77,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 576, 1181, A1, 99999.9000000K , 1
 877, RC78,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 576, 1184, A1, 99999.9000000K , 1
 878, RC79,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 576, 1304, A1, 99999.9000000K , 1
 879, RC80,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 576, 1305, A1, 99999.9000000K , 1
 880, RC9,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 729, 326, A1, 99999.9000000K , 1
 881, RDP21,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 560, 1318, A1, 99999.9000000K , 1
 882, RDP35,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 560, 1316, A1, 99999.9000000K , 1
 883, RH1,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 576, 604, A1, 99999.9000000K , 1
 884, RH100,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 576, 724, A1, 99999.9000000K , 1
 885, RH105,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 576, 726, A1, 99999.9000000K , 1
 887, RH109,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 576, 167, A1, 99999.9000000K , 1
 888, RH116,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 576, 69, A1, 99999.9000000K , 1
 889, RH117,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 576, 65, A1, 99999.9000000K , 1
 890, RH118,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 576, 71, A1, 99999.9000000K , 1
 891, RH163,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 576, 725, A1, 99999.9000000K , 1
 892, RH2,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 576, 601, A1, 99999.9000000K , 1
 893, RH82,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 55, 169, A1, 99999.9000000K , 1
 894, RHM41,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 1210, 389, A1, 99999.9000000K , 1
 896, RPC4,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 576, 626, A1, 99999.9000000K , 1
 903, PR348,   10.000K ,    3.000K ,  30.0,  30.0, 2, R, 576, 216, A1, 813.9994094K , 1
 906, R122,   10.000K ,    3.230K ,  30.0,  30.0, 2, R, 576, 85, A1, 813.9994094K , 1
 907, R128,   10.000K ,    3.000K ,  20.0,  20.0, 2, R, 576, 132, A1, 813.9994094K , 1
 912, RD7,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 576, 1396, A1, 2466.6660761K , 1
 913, RSI46,   10.000K ,    2.000K ,  20.0,  20.0, 2, R, 653, 111, A1, 813.9994094K , 1
 917, PR222,   120.00  ,   120.00  ,  20.0,  20.0, 0, R, 560, 1106, A1, 99999.9000000  , 1
 920, PR232,   120.00  ,   120.00  ,  20.0,  20.0, 0, R, 1105, 1010, A1, 99999.9000000  , 1
 924, PR245,   120.00  ,   120.00  ,  20.0,  20.0, 0, R, 929, 211, A1, 99999.9000000  , 1
 925, PR246,   120.00  ,   120.00  ,  20.0,  20.0, 0, R, 1041, 275, A1, 99999.9000000  , 1
 930, R1,    2.200K ,    2.200K ,  20.0,  20.0, 0, R, 560, 400, A1, 99999.9000000K , 1
 933, R2,    2.200K ,    2.200K ,  20.0,  20.0, 0, R, 560, 399, A1, 99999.9000000K , 1
 934, R7,    2.200K ,    2.200K ,  20.0,  20.0, 0, R, 809, 8, A1, 99999.9000000K , 1
 936, RA40,    2.200K ,    1.000K ,  20.0,  20.0, 0, R, 1126, 1234, A1, 99999.9000000K , 1
 937, RA41,    2.200K ,    1.000K ,  20.0,  20.0, 0, R, 1126, 1238, A1, 99999.9000000K , 1
 942, RPS5,    2.200K ,    2.200K ,  20.0,  20.0, 0, R, 1112, 795, A1, 99999.9000000K , 1
 943, RPS6,    2.200K ,    2.200K ,  20.0,  20.0, 0, R, 1112, 673, A1, 99999.9000000K , 1
 944, RPS7,    2.200K ,    2.200K ,  20.0,  20.0, 0, R, 1112, 797, A1, 99999.9000000K , 1
 955, RHD15,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 910, 932, A1, 4.0000000  , 1
 956, RHD16,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 910, 932, A1, 4.0000000  , 1
 957, RHD17,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 910, 932, A1, 4.0000000  , 1
 971, R125,   20.000K ,    4.000K ,  20.0,  20.0, 2, R, 910, 131, A1, 2466.6660761K , 1
 978, PR27,   100.00K ,   100.00K ,  20.0,  20.0, 0, R, 316, 1136, A1, 99999.9000000K , 1
 980, R117,   100.00K ,   100.00K ,  20.0,  20.0, 2, R, 576, 401, A1, 24666.6660761K , 1
 984, R91,  100.000K ,    5.000K ,  20.0,  20.0, 0, R, 576, 680, A1, 99999.9000000K , 1
 985, R92,  100.000K ,    2.000K ,  20.0,  20.0, 0, R, 576, 55, A1, 99999.9000000K , 1
 987, RA14,   100.00K ,   100.00K ,  20.0,  20.0, 0, R, 355, 1241, A1, 99999.9000000K , 1
 989, RA5,   100.00K ,   100.00K ,  20.0,  30.0, 2, R, 1241, 360, A1, 24666.6660761K , 1
 992, RDP11,   100.00K ,   100.00K ,  20.0,  20.0, 2, R, 576, 413, A1, 24666.6660761K , 1
 994, RDP24,   100.00K ,   100.00K ,  20.0,  20.0, 2, R, 576, 414, A1, 18499.9994094K , 1
 998, RDP9,   100.00K ,   100.00K ,  20.0,  20.0, 0, R, 415, 1439, A1, 99999.9000000K , 1
 1000, PR273,   150.00K ,   150.00K ,  20.0,  20.0, 2, R, 910, 233, A1, 52793.8485699K , 1
 1019, RA16,   200.00K ,   200.00K ,  20.0,  20.0, 0, R, 1475, 355, A1, 22479.3504382K , 1
 1020, RA26,   200.00K ,   200.00K ,  20.0,  20.0, 0, R, 1125, 394, A1, 44860.2012934K , 1
 1022, RA8,   200.00K ,   200.00K ,  20.0,  20.0, 2, R, 360, 1242, A1, 184237.8349410K , 1
 1026, PR347,    4.990K ,    3.000K ,  20.0,  20.0, 2, R, 1130, 216, A1, 813.9994094K , 1
 1028, R121,    4.990K ,    3.000K ,  20.0,  20.0, 2, R, 1130, 85, A1, 813.9994094K , 1
 1035, PR512,   100.00  ,   340.00  ,  10.0,  10.0, 2, R, 1182, 1417, A1, 246666.0760847  , 1
 1039, PR521,   100.00  ,   100.00  ,  20.0,  20.0, 0, R, 1409, 1415, A1, 99999.9000000  , 1
 1052, RFAN15,   100.00  ,   100.00  ,  20.0,  20.0, 0, R, 1132, 1442, A1, 99999.9000000  , 1
 1053, RFAN16,   100.00  ,   100.00  ,  20.0,  20.0, 0, R, 212, 930, A1, 99999.9000000  , 1
 1054, RFAN5,   100.00  ,   100.00  ,  20.0,  20.0, 0, R, 807, 1444, A1, 99999.9000000  , 1
 1055, RFAN7,   100.00  ,   100.00  ,  20.0,  20.0, 0, R, 1101, 1100, A1, 99999.9000000  , 1
 1058, RC6,    2.000K ,    2.000K ,  20.0,  20.0, 0, R, 729, 761, A1, 99999.9000000K , 1
 1060, RHM45,    2.000K ,    2.000K ,  20.0,  20.0, 0, R, 1204, 375, A1, 99999.9000000K , 1
 1061, RHM46,    2.000K ,    2.000K ,  20.0,  20.0, 0, R, 1204, 378, A1, 99999.9000000K , 1
 1062, R24,   330.00  ,   330.00  ,  20.0,  20.0, 0, R, 1130, 1352, A1, 99999.9000000  , 1
 1067, R39,    1.000K ,    1.000K ,  20.0,  20.0, 0, R, 989, 1, A1, 99999.9000000K , 1
 1073, R27,    33.00  ,    33.00  ,  20.0,  20.0, 0, R, 49, 1351, A1, 99999.9000000  , 1
 1074, RA6,    33.00  ,    33.00  ,  20.0,  20.0, 0, R, 1183, 362, A1, 99999.9000000  , 1
 1093, RSI34,    33.00  ,    33.00  ,  20.0,  20.0, 0, R, 744, 98, A1, 99999.9000000  , 1
